name,cr,type,initiative,armor_class,hit_points,document__title,page_no,link
Abominable Beauty,11.0,Fey,4,18,187,Tome of Beasts 2023,11,http://slyflourish.com/5e_monsters/monsters_html/abominablebeauty-tob1-2023.html
Accursed Defiler,4.0,Undead,2,12,75,Tome of Beasts 2023,12,http://slyflourish.com/5e_monsters/monsters_html/accurseddefiler-tob1-2023.html
Adult Cave Dragon,19.0,Dragon,1,18,270,Tome of Beasts 2023,114,http://slyflourish.com/5e_monsters/monsters_html/adultcavedragon-tob1-2023.html
Adult Flame Dragon,16.0,Dragon,2,19,275,Tome of Beasts 2023,118,http://slyflourish.com/5e_monsters/monsters_html/adultflamedragon-tob1-2023.html
Adult Mithral Dragon,18.0,Dragon,6,18,253,Tome of Beasts 2023,122,http://slyflourish.com/5e_monsters/monsters_html/adultmithraldragon-tob1-2023.html
Adult Sea Dragon,18.0,Dragon,0,19,275,Tome of Beasts 2023,126,http://slyflourish.com/5e_monsters/monsters_html/adultseadragon-tob1-2023.html
Adult Void Dragon,16.0,Dragon,0,19,229,Tome of Beasts 2023,129,http://slyflourish.com/5e_monsters/monsters_html/adultvoiddragon-tob1-2023.html
Adult Wind Dragon,16.0,Dragon,3,17,187,Tome of Beasts 2023,134,http://slyflourish.com/5e_monsters/monsters_html/adultwinddragon-tob1-2023.html
Akyishigal,12.0,Fiend,4,18,138,Tome of Beasts 2023,75,http://slyflourish.com/5e_monsters/monsters_html/akyishigal-tob1-2023.html
Al-Aeshma Genie,9.0,Elemental,2,17,149,Tome of Beasts 2023,197,http://slyflourish.com/5e_monsters/monsters_html/al-aeshmagenie-tob1-2023.html
Ala,8.0,Fey,3,17,127,Tome of Beasts 2023,13,http://slyflourish.com/5e_monsters/monsters_html/ala-tob1-2023.html
Alchemist,2.0,Humanoid,3,15,44,Tome of Beasts 2023,244,http://slyflourish.com/5e_monsters/monsters_html/alchemist-tob1-2023.html
Alehouse Drake,1.0,Dragon,3,13,45,Tome of Beasts 2023,138,http://slyflourish.com/5e_monsters/monsters_html/alehousedrake-tob1-2023.html
Algorith,10.0,Construct,2,18,153,Tome of Beasts 2023,14,http://slyflourish.com/5e_monsters/monsters_html/algorith-tob1-2023.html
Alseid,0.5,Monstrosity,4,14,33,Tome of Beasts 2023,15,http://slyflourish.com/5e_monsters/monsters_html/alseid-tob1-2023.html
Amphiptere,3.0,Beast,4,15,60,Tome of Beasts 2023,16,http://slyflourish.com/5e_monsters/monsters_html/amphiptere-tob1-2023.html
Ancient Cave Dragon,25.0,Dragon,1,20,507,Tome of Beasts 2023,113,http://slyflourish.com/5e_monsters/monsters_html/ancientcavedragon-tob1-2023.html
Ancient Flame Dragon,23.0,Dragon,2,22,518,Tome of Beasts 2023,117,http://slyflourish.com/5e_monsters/monsters_html/ancientflamedragon-tob1-2023.html
Ancient Mithral Dragon,22.0,Dragon,8,20,490,Tome of Beasts 2023,120,http://slyflourish.com/5e_monsters/monsters_html/ancientmithraldragon-tob1-2023.html
Ancient Sea Dragon,23.0,Dragon,0,22,518,Tome of Beasts 2023,125,http://slyflourish.com/5e_monsters/monsters_html/ancientseadragon-tob1-2023.html
Ancient Titan,12.0,Celestial,2,15,198,Tome of Beasts 2023,361,http://slyflourish.com/5e_monsters/monsters_html/ancienttitan-tob1-2023.html
Ancient Void Dragon,24.0,Dragon,0,22,429,Tome of Beasts 2023,128,http://slyflourish.com/5e_monsters/monsters_html/ancientvoiddragon-tob1-2023.html
Ancient Wind Dragon,21.0,Dragon,3,20,351,Tome of Beasts 2023,133,http://slyflourish.com/5e_monsters/monsters_html/ancientwinddragon-tob1-2023.html
Angatra,6.0,Undead,5,17,85,Tome of Beasts 2023,17,http://slyflourish.com/5e_monsters/monsters_html/angatra-tob1-2023.html
